date,p,T,Tpot,Tdew,rh,VPmax,VPact,VPdef,sh,H2OC,rho,wv,max. wv,wd,rain,raining,SWDR,PAR,max. PAR,Tlog
2020-01-01 02:50:00,1008.39,-0.17,272.34,-1.81,88.6,6.03,5.35,0.69,3.3,5.3,1284.22,0.42,1.38,191.3,0.0,0.0,0.0,0.0,0.0,11.83
2020-01-01 02:40:00,1008.4,-0.06,272.45,-1.77,88.2,6.08,5.36,0.72,3.32,5.32,1283.71,0.81,2.3,143.7,0.0,0.0,0.0,0.0,0.0,11.93
2020-01-01 02:00:00,1008.32,-0.21,272.3,-1.78,89.1,6.01,5.36,0.66,3.31,5.31,1284.32,0.5,1.0,154.0,0.0,0.0,0.0,0.0,0.0,12.13
2020-01-01 00:30:00,1008.66,0.73,273.21,-1.48,85.1,6.44,5.48,0.96,3.39,5.43,1280.29,0.61,1.48,197.1,0.0,0.0,0.0,0.0,0.0,11.6
2020-01-01 01:40:00,1008.28,0.22,272.73,-1.62,87.4,6.2,5.42,0.78,3.35,5.38,1282.24,0.62,1.04,123.9,0.0,0.0,0.0,0.0,0.0,12.14
2020-01-01 03:00:00,1008.46,-0.05,272.45,-1.71,88.5,6.09,5.39,0.7,3.33,5.34,1283.73,0.46,1.14,46.51,0.0,0.0,0.0,0.0,0.0,11.74
2020-01-01 00:50:00,1008.61,0.33,272.82,-1.5,87.4,6.26,5.47,0.79,3.38,5.42,1282.08,0.49,1.4,209.6,0.0,0.0,0.0,0.0,0.0,11.81
2020-01-01 02:10:00,1008.24,-0.1,272.42,-1.74,88.6,6.06,5.37,0.69,3.32,5.33,1283.67,0.48,0.98,105.5,0.0,0.0,0.0,0.0,0.0,12.09
2020-01-01 01:20:00,1008.4,0.03,272.53,-1.7,88.1,6.12,5.39,0.73,3.33,5.35,1283.3,1.05,1.64,183.1,0.0,0.0,0.0,0.0,0.0,12.07
2020-01-01 01:50:00,1008.24,-0.04,272.48,-1.85,87.5,6.09,5.33,0.76,3.29,5.29,1283.42,0.61,1.12,176.5,0.0,0.0,0.0,0.0,0.0,12.14
2020-01-01 02:30:00,1008.3,-0.22,272.3,-1.82,88.9,6.01,5.34,0.67,3.3,5.3,1284.34,0.28,0.64,356.1,0.0,0.0,0.0,0.0,0.0,12.01
2020-01-01 01:10:00,1008.49,0.19,272.69,-1.65,87.4,6.19,5.41,0.78,3.34,5.37,1282.63,0.88,1.28,195.4,0.0,0.0,0.0,0.0,0.0,12.0
